id,name,create_date,sent_date,subscription_name,sent,open,delivered,bounce,unsubscribed,click,reply,dropped,selected,spamreport,suppressed,hardbounced,softbounced,pending,contactslost,notsent
162156654358,Mail 1: Rederinido o Futuro do Atendimento no Setor de Energía Elétrica,2024-03-26,2024-03-26,Nada,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162152480689,Newsletter - 26 marzo,2024-03-26,2024-03-26,Debmedia Blog Subscription,554,105.0,553.0,1.0,0.0,5.0,0.0,186.0,1496.0,0.0,756.0,1.0,0.0,0.0,1.0,942.0
161300426017,Newsletter - 19 marzo,2024-03-19,2024-03-19,Debmedia Blog Subscription,572,101.0,571.0,1.0,1.0,7.0,0.0,182.0,1493.0,0.0,739.0,0.0,1.0,0.0,1.0,921.0
160489152150,Recordatorio 4 horas antes Dinner & Networking MX Marzo 2024,2024-03-12,2024-03-14,Nada,10,5.0,9.0,1.0,0.0,2.0,0.0,1.0,13.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0
160485347764,Recordatorio 2 días antes Dinner & Networking MX Marzo 2024,2024-03-12,2024-03-12,Nada,10,5.0,9.0,1.0,0.0,0.0,2.0,1.0,13.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0
160432001291,Newsletter - 12 de marzo,2024-03-12,2024-03-12,Debmedia Blog Subscription,592,109.0,592.0,0.0,1.0,2.0,0.0,182.0,1489.0,1.0,715.0,0.0,0.0,0.0,2.0,897.0
159843777329,Mail 2 días después NO ASISTENTES Kick Off Partners marzo 2024,2024-03-07,2024-03-07,Nada,30,15.0,30.0,0.0,0.0,6.0,0.0,0.0,33.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
159809069197,Mail 2 días después SÍ ASISTIÓ Kick Off Partners marzo 2024,2024-03-07,2024-03-07,Nada,19,16.0,19.0,0.0,0.0,4.0,0.0,1.0,23.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0
159707869528,Información estacionamiento Wine & Networking Marzo 2024,2024-03-06,2024-03-06,Nada,8,2.0,8.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
159367219858,Recordatorio horas antes Wine & Networking Marzo 2024,2024-03-04,2024-03-06,Nada,8,2.0,8.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
159364836637,Recordatorio 1 día antes Wine & Networking Marzo 2024,2024-03-04,2024-03-05,Nada,42,10.0,41.0,1.0,0.0,0.0,2.0,1.0,45.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0
158050687131,Recordatorio 10 min Kick Off Partners Debmedia,2024-02-22,2024-03-05,Nada,49,28.0,49.0,0.0,0.0,18.0,1.0,1.0,54.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0
159430206311,2da Invitación Dinner & Networking México Marzo 2024,2024-03-04,2024-03-05,Nada,30,14.0,28.0,2.0,0.0,2.0,2.0,0.0,31.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0
159497854299,Newsletter - 27 de febrero,2024-03-05,2024-03-05,Debmedia Blog Subscription,609,124.0,607.0,2.0,1.0,3.0,0.0,178.0,1484.0,0.0,697.0,2.0,0.0,0.0,3.0,875.0
158918689689,Wine & Networking Follow Up Speakers,2024-02-29,2024-02-29,Nada,33,10.0,32.0,1.0,0.0,0.0,2.0,1.0,36.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0
158605913647,Invitación Dinner & Networking México Marzo 2024,2024-02-27,2024-02-27,Nada,30,13.0,28.0,2.0,0.0,1.0,1.0,0.0,32.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0
158430114946,Confirmación registro Dinner &Networking México Marzo 2024,2024-02-26,2024-02-27,Nada,14,8.0,12.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0
158550100357,Newsletter - 27 de febrero,2024-02-27,2024-02-27,Debmedia Blog Subscription,660,108.0,659.0,1.0,1.0,2.0,0.0,175.0,1466.0,0.0,631.0,0.0,1.0,0.0,1.0,806.0
6101046575,Primer Mail Autoresponder,2018-08-23,2024-02-26,Marketing Information,9350,4836.0,8851.0,499.0,93.0,584.0,739.0,298.0,9846.0,2.0,198.0,474.0,25.0,0.0,569.0,496.0
158043992328,Confirmación registro Kick Off Partners marzo 2024,2024-02-22,2024-02-23,Nada,51,33.0,51.0,0.0,0.0,21.0,1.0,0.0,56.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
157673295497,Newsletter - 20 de febrero,2024-02-20,2024-02-20,Debmedia Blog Subscription,682,167.0,681.0,1.0,1.0,7.0,0.0,176.0,1450.0,0.0,592.0,0.0,1.0,0.0,1.0,768.0
157582710171,Mail Confirmación Cena Argentina Marzo Banca,2024-02-19,2024-02-19,Nada,12,8.0,12.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
156668779356,Newsletter - 13 de febrero,2024-02-13,2024-02-13,Debmedia Blog Subscription,727,128.0,725.0,2.0,3.0,4.0,0.0,173.0,1445.0,0.0,545.0,1.0,1.0,0.0,4.0,718.0
114295488177,Mail 2: Campaña ebook transformación digital en canales de atención,2023-05-04,2024-02-06,Nada,706,186.0,706.0,0.0,5.0,0.0,0.0,34.0,740.0,1.0,0.0,0.0,0.0,0.0,6.0,34.0
114295780782,Mail 3: Campaña ebook Transformación digital en canales de atención,2023-05-04,2024-02-06,Nada,700,310.0,699.0,1.0,7.0,188.0,0.0,27.0,727.0,0.0,0.0,1.0,0.0,0.0,8.0,27.0
155683821152,Newsletter - 6 de febrero,2024-02-05,2024-02-06,Debmedia Blog Subscription,741,119.0,740.0,1.0,1.0,1.0,0.0,172.0,1439.0,0.0,526.0,0.0,1.0,0.0,1.0,698.0
154906307253,Newsletter - 30 de enero,2024-01-30,2024-01-30,Debmedia Blog Subscription,766,163.0,765.0,1.0,3.0,6.0,0.0,169.0,1425.0,0.0,490.0,0.0,1.0,0.0,3.0,659.0
153879401580,Newsletter - 23 de enero,2024-01-22,2024-01-23,Debmedia Blog Subscription,761,178.0,758.0,3.0,2.0,6.0,0.0,164.0,1410.0,0.0,485.0,2.0,1.0,0.0,4.0,649.0
