amount,createdate,hs_lastmodifieddate,hs_object_id,hs_product_id,quantity
25.000,2018-09-24T14:11:55.037Z,2021-07-17T12:04:12.283Z,31980459,5669736,1
25.000,2018-09-24T14:11:55.037Z,2021-07-18T21:08:00.454Z,31991235,5669736,1
2500.000,2018-09-24T15:12:02.571Z,2022-06-25T07:00:28.131Z,31991284,5669751,1
25.000,2018-09-24T14:11:55.037Z,2021-07-16T23:42:47.910Z,40115340,5669736,1
100.000,2019-01-15T16:35:43.770Z,2021-07-19T05:33:45.961Z,73411197,5669736,4
25.000,2019-01-30T03:12:20.458Z,2021-07-19T01:01:39.905Z,79140393,5669736,1
25.000,2019-01-30T02:26:42.227Z,2021-07-18T23:04:34.380Z,79148295,5669736,1
2500.000,2019-01-30T03:17:52.271Z,2022-06-24T23:35:28.521Z,79148337,5669751,1
500.000,2019-02-18T13:11:35.320Z,2021-07-18T22:01:57.103Z,88783330,9896345,1
250.000,2019-03-07T15:41:53.772Z,2021-07-18T22:45:19.043Z,99354032,5669736,10
25.000,2019-03-18T13:35:40.033Z,2021-07-16T22:19:56.175Z,103697951,5669736,1
375.000,2019-04-08T20:09:47.834Z,2021-07-18T22:02:10.289Z,120036656,5669736,15
25.000,2019-05-30T23:40:20.324Z,2021-07-18T06:35:12.139Z,148672610,5669736,1
25.000,2019-06-04T23:49:16.588Z,2021-07-17T09:37:12.748Z,150946751,5669736,1
25.000,2019-06-21T17:15:46.873Z,2021-07-18T23:39:25.264Z,159297906,5669736,1
25.000,2018-09-24T14:11:55.037Z,2021-07-17T17:15:35.076Z,247173106,5669736,1
75.000,2018-09-24T14:11:55.037Z,2021-07-17T05:04:06.113Z,264356565,5669736,3
25.000,2018-09-24T14:11:55.037Z,2021-07-18T20:45:27.965Z,391274713,5669736,1
25.000,2018-09-24T14:11:55.037Z,2021-07-18T13:42:27.505Z,391495928,5669736,1
25.000,2018-09-24T14:11:55.037Z,2021-07-17T01:47:38.917Z,391512850,5669736,1
25.000,2018-09-24T14:11:55.037Z,2021-07-18T13:21:17.471Z,396148898,5669736,1
25.000,2018-09-24T14:11:55.037Z,2021-07-18T14:00:37.030Z,396149037,5669736,1
25.000,2018-09-24T14:11:55.037Z,2021-07-17T02:42:37.258Z,397368892,5669736,1
25.000,2018-09-24T14:11:55.037Z,2021-07-18T11:30:22.824Z,402973134,5669736,1
25.000,2018-09-24T14:11:55.037Z,2021-07-17T01:26:26.900Z,407806601,5669736,1
7575.000,2018-09-24T14:11:55.037Z,2021-07-18T16:47:42.291Z,408159743,5669736,303
25.000,2018-09-24T14:11:55.037Z,2021-07-18T12:39:52.989Z,408716702,5669736,1
25.000,2018-09-24T14:11:55.037Z,2021-07-17T07:45:01.745Z,408716752,5669736,1
5000.000,2019-01-24T13:20:01.273Z,2021-07-17T01:52:56.952Z,556442971,9896345,10
100.000,2018-09-24T14:11:55.037Z,2021-07-18T10:38:41.291Z,556442972,5669736,4
2.000,2020-04-02T15:21:36.992Z,2021-07-17T04:31:32.410Z,558318861,95419027,10
20.000,2020-04-02T15:21:36.992Z,2021-07-17T10:28:04.512Z,558716005,95419027,1
300.000,2020-04-02T15:21:36.992Z,2021-07-18T18:53:36.958Z,558926479,95419027,20
75.000,2020-04-02T15:21:36.991Z,2021-07-18T00:33:51.886Z,558926480,95388996,3
75.000,2020-04-02T15:21:36.991Z,2021-07-18T20:59:10.283Z,558926481,95420822,3
300.000,2020-04-02T15:21:36.992Z,2021-07-19T02:39:33.993Z,560521095,95419027,20
75.000,2020-04-02T15:21:36.991Z,2021-07-17T21:18:37.981Z,560521096,95388996,3
75.000,2020-04-02T15:21:36.991Z,2021-07-19T03:25:39.713Z,560521097,95420822,3
1.000,2020-04-02T15:21:36.991Z,2021-07-18T13:04:50.766Z,560521148,95388996,1
1.000,2020-04-02T15:21:36.992Z,2021-07-19T04:34:25.121Z,560521149,95419027,1
1.000,2020-04-02T15:21:36.991Z,2021-07-18T09:53:27.434Z,560521150,95420822,1
1.000,2020-04-02T15:21:36.991Z,2021-07-17T02:30:53.814Z,562090539,95420822,1
1.000,2020-04-02T15:21:36.991Z,2021-07-17T10:37:28.401Z,562090540,95420822,1
1.000,2020-04-02T15:21:36.991Z,2021-07-19T04:31:58.500Z,569055005,95388996,1
1.000,2020-04-02T15:21:36.992Z,2021-07-17T14:38:50.848Z,569055006,95419027,1
1.000,2020-04-02T15:21:36.991Z,2021-07-17T07:03:00.217Z,569055007,95420822,1
1.000,2020-04-02T15:21:36.991Z,2021-07-17T11:24:21.099Z,569351755,95388996,1
1.000,2020-04-02T15:21:36.992Z,2021-07-19T02:43:54.862Z,569351756,95419027,1
1.000,2020-04-02T15:21:36.991Z,2021-07-18T19:55:20.790Z,569351757,95420822,1
1.000,2020-04-02T15:21:36.992Z,2021-07-17T09:18:06.512Z,573281336,95419027,1
1.000,2020-04-02T15:21:36.991Z,2021-07-17T12:17:45.367Z,582722111,95388996,1
1.000,2020-04-02T15:21:36.992Z,2021-07-18T08:13:32.901Z,582722112,95419027,1
1.000,2020-04-02T15:21:36.991Z,2021-07-18T19:10:32.105Z,582722113,95420822,1
25.000,2020-04-02T15:21:36.992Z,2021-07-18T18:07:46.207Z,582722114,95419027,1
1.000,2020-04-02T15:21:36.992Z,2022-06-25T02:32:31.730Z,584766008,95419027,1
1.000,2020-04-02T15:21:36.992Z,2022-06-25T03:08:42.054Z,584766074,95419027,1
5.000,2020-04-02T15:21:36.992Z,2022-06-25T01:04:13.724Z,585193067,95396573,1
5.000,2020-04-02T15:21:36.992Z,2021-07-18T06:51:32.172Z,585193160,95396573,1
2.000,2020-04-02T15:21:36.992Z,2021-07-17T18:03:49.919Z,585193197,95396573,1
100.000,2020-04-02T15:21:36.992Z,2021-07-18T05:48:32.908Z,585215476,95396573,1
100.000,2020-04-02T15:21:36.992Z,2021-07-18T16:25:44.875Z,587145581,95396573,1
18000.000,2020-04-02T15:21:36.992Z,2021-07-17T10:16:26.222Z,587145582,95397314,1
5000.000,2020-04-02T15:21:36.991Z,2021-07-17T10:47:00.260Z,587215196,95419444,1
4000.000,2020-04-02T15:21:36.992Z,2021-07-17T15:32:00.092Z,587215197,95396573,1
50.000,2020-04-02T15:21:36.992Z,2021-07-17T06:53:40.090Z,588265942,95396573,1
50.000,2020-04-02T15:21:36.992Z,2021-07-18T19:36:17.664Z,588570735,95396573,1
100.000,2020-04-02T15:21:36.991Z,2021-07-18T00:47:28.694Z,589287331,95419444,1
100.000,2020-04-02T15:21:36.991Z,2021-07-18T20:00:56.593Z,589287332,95419444,1
50.000,2020-04-02T15:21:36.991Z,2021-07-17T03:18:43.600Z,601234894,95419444,1
50.000,2020-04-02T15:21:36.992Z,2021-07-17T12:48:29.914Z,601234895,95396573,1
50.000,2020-04-02T15:21:36.991Z,2021-07-17T02:49:14.246Z,601234903,95419444,1
50.000,2020-04-02T15:21:36.992Z,2021-07-17T01:10:13.730Z,601234904,95396573,1
50.000,2020-04-02T15:21:36.991Z,2022-06-25T06:43:51.878Z,610837760,95419444,1
50.000,2020-04-02T15:21:36.992Z,2021-07-19T00:23:53.775Z,610837761,95396573,1
50.000,2020-04-02T15:21:36.991Z,2022-06-24T23:46:09.914Z,612866804,95419444,1
50.000,2020-04-02T15:21:36.992Z,2021-07-18T22:03:28.296Z,612866805,95396573,1
50.000,2020-04-02T15:21:36.991Z,2022-06-25T05:17:39.539Z,616525528,95419444,1
50.000,2020-04-02T15:21:36.992Z,2021-07-17T19:33:07.923Z,616525529,95396573,1
200.000,2020-05-05T17:47:38.213Z,2021-07-18T06:59:46.107Z,617857727,,1
25.000,2020-04-02T15:21:36.992Z,2021-07-18T00:36:50.012Z,617857728,95419027,1
100.000,2020-04-02T15:21:36.991Z,2022-06-25T02:28:53.180Z,617898275,95419444,1
50.000,2020-04-02T15:21:36.992Z,2021-07-17T19:45:43.591Z,617898276,95396573,1
50.000,2020-04-02T15:21:36.991Z,2022-06-25T06:58:01.766Z,625424698,95419444,1
50.000,2020-04-02T15:21:36.992Z,2021-07-17T11:59:54.965Z,625424699,95396573,1
5750.000,2021-05-27T19:48:43.172Z,2021-07-18T21:51:15.183Z,1545022871,95397314,23
23700000.00,2021-11-24T17:18:18.900Z,2021-11-24T17:18:18.900Z,2296122256,95421285,150
15800000.00,2022-01-21T19:15:11.843Z,2022-01-21T19:20:21.384Z,2566403091,95421285,100
4000.00,2022-01-21T19:20:21.261Z,2022-01-28T14:05:34.572Z,2566403586,95421285,100
125.00,2023-04-12T21:14:03.769Z,2023-04-12T21:14:03.769Z,5245379113,95419027,5
25.00,2024-01-26T19:31:49.866Z,2024-01-26T19:36:55.514Z,8111324294,95419027,1
